Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,178,Новая Зеландия,фэнтези,Питер Джексон,8.6,https://www.kinopoisk.ru/film/328/
Игры разума,A Beautiful Mind,2001,135,США,биография,Рон Ховард,8.5,https://www.kinopoisk.ru/film/530/
Мулен Руж,Moulin Rouge!,2001,123,Австралия,мюзикл,Баз Лурман,7.9,https://www.kinopoisk.ru/film/558/
Госфорд-парк,Gosford Park,2001,137,США,драма,Роберт Олтмен,6.8,https://www.kinopoisk.ru/film/683/
В спальне,In the Bedroom,2001,131,США,драма,Тодд Филд,6.8,https://www.kinopoisk.ru/film/711/
Гладиатор,Gladiator,2000,155,США,история,Ридли Скотт,8.6,https://www.kinopoisk.ru/film/474/
Шоколад,Chocolat,2000,121,Великобритания,драма,Лассе Халльстрём,7.9,https://www.kinopoisk.ru/film/636/
Эрин Брокович,Erin Brockovich,2000,126,США,драма,Стивен Содерберг,7.9,https://www.kinopoisk.ru/film/661/
"Крадущийся тигр, затаившийся дракон",Wo hu cang long,2000,120,Тайвань,фэнтези,Энг Ли,7.4,https://www.kinopoisk.ru/film/378/
Траффик,Traffic,2000,147,США,триллер,Стивен Содерберг,7.2,https://www.kinopoisk.ru/film/499/
Зеленая миля,The Green Mile,1999,189,США,драма,Фрэнк Дарабонт,9.1,https://www.kinopoisk.ru/film/435/
Шестое чувство,The Sixth Sense,1999,107,США,детектив,М. Найт Шьямалан,8.2,https://www.kinopoisk.ru/film/395/
Красота по-американски,American Beauty,1999,122,США,драма,Сэм Мендес,8.0,https://www.kinopoisk.ru/film/351/
Правила виноделов,The Cider House Rules,1999,125,США,драма,Лассе Халльстрём,7.7,https://www.kinopoisk.ru/film/6180/
Свой человек,The Insider,1999,157,США,триллер,Майкл Манн,7.6,https://www.kinopoisk.ru/film/467/
Жизнь прекрасна,La vita è bella,1997,116,Италия,военный,Роберто Бениньи,8.6,https://www.kinopoisk.ru/film/381/
Спасти рядового Райана,Saving Private Ryan,1998,169,США,военный,Стивен Спилберг,8.2,https://www.kinopoisk.ru/film/371/
Елизавета,Elizabeth,1998,124,Великобритания,драма,Шекхар Капур,7.7,https://www.kinopoisk.ru/film/5560/
Влюблённый Шекспир,Shakespeare in Love,1998,123,США,драма,Джон Мэдден,7.4,https://www.kinopoisk.ru/film/7662/
Тонкая красная линия,The Thin Red Line,1998,170,США,драма,Терренс Малик,7.4,https://www.kinopoisk.ru/film/3983/
Титаник,Titanic,1997,194,США,мелодрама,Джеймс Кэмерон,8.4,https://www.kinopoisk.ru/film/2213/
Умница Уилл Хантинг,Good Will Hunting,1997,126,США,драма,Гас Ван Сент,8.1,https://www.kinopoisk.ru/film/539/
Секреты Лос-Анджелеса,L.A. Confidential,1997,138,США,детектив,Кёртис Хэнсон,7.9,https://www.kinopoisk.ru/film/363/
Лучше не бывает,As Good as It Gets,1997,139,США,драма,Джеймс Л. Брукс,7.9,https://www.kinopoisk.ru/film/4199/
Мужской стриптиз,The Full Monty,1997,88,Великобритания,драма,Питер Каттанео,7.4,https://www.kinopoisk.ru/film/7732/
Английский пациент,The English Patient,1996,162,США,драма,Энтони Мингелла,7.9,https://www.kinopoisk.ru/film/7636/
Блеск,Shine,1996,105,Австралия,биография,Скотт Хикс,7.8,https://www.kinopoisk.ru/film/16686/
Фарго,Fargo,1995,98,США,триллер,Джоэл Коэн,7.6,https://www.kinopoisk.ru/film/402/
Джерри Магуайер,Jerry Maguire,1996,139,США,драма,Кэмерон Кроу,7.4,https://www.kinopoisk.ru/film/4561/
Тайны и ложь,Secrets & Lies,1996,142,Великобритания,драма,Майк Ли,7.4,https://www.kinopoisk.ru/film/6775/
Храброе сердце,Braveheart,1995,178,США,история,Мэл Гибсон,8.3,https://www.kinopoisk.ru/film/399/
Разум и чувства,Sense and Sensibility,1995,136,Великобритания,драма,Энг Ли,7.9,https://www.kinopoisk.ru/film/6148/
Аполлон 13,Apollo 13,1995,140,США,драма,Рон Ховард,7.7,https://www.kinopoisk.ru/film/2217/
Почтальон,Il postino,1994,113,Италия,драма,Майкл Рэдфорд,7.1,https://www.kinopoisk.ru/film/36136/
Бэйб: Четвероногий малыш,Babe,1995,91,Австралия,драма,Крис Нунен,7.0,https://www.kinopoisk.ru/film/3829/
Побег из Шоушенка,The Shawshank Redemption,1994,142,США,драма,Фрэнк Дарабонт,9.1,https://www.kinopoisk.ru/film/326/
Форрест Гамп,Forrest Gump,1994,142,США,драма,Роберт Земекис,8.9,https://www.kinopoisk.ru/film/448/
Криминальное чтиво,Pulp Fiction,1994,154,США,криминал,Квентин Тарантино,8.7,https://www.kinopoisk.ru/film/342/
Телевикторина,Quiz Show,1994,133,США,драма,Роберт Редфорд,7.2,https://www.kinopoisk.ru/film/4321/
Четыре свадьбы и одни похороны,Four Weddings and a Funeral,1993,117,Великобритания,мелодрама,Майк Ньюэлл,7.1,https://www.kinopoisk.ru/film/6151/
Список Шиндлера,Schindler's List,1993,195,США,драма,Стивен Спилберг,8.8,https://www.kinopoisk.ru/film/329/
Беглец,The Fugitive,1993,130,США,боевик,Эндрю Дэвис,7.9,https://www.kinopoisk.ru/film/3915/
Во имя отца,In the Name of the Father,1993,133,Ирландия,драма,Джим Шеридан,7.8,https://www.kinopoisk.ru/film/4885/
Пианино,The Piano,1992,121,Австралия,драма,Джейн Кэмпион,7.8,https://www.kinopoisk.ru/film/3663/
На исходе дня,The Remains of the Day,1993,134,Великобритания,драма,Джеймс Айвори,7.4,https://www.kinopoisk.ru/film/6154/
Запах женщины,Scent of a Woman,1992,156,США,драма,Мартин Брест,8.4,https://www.kinopoisk.ru/film/4871/
Несколько хороших парней,A Few Good Men,1992,138,США,триллер,Роб Райнер,7.8,https://www.kinopoisk.ru/film/1588/
Непрощенный,Unforgiven,1992,131,США,вестерн,Клинт Иствуд,7.8,https://www.kinopoisk.ru/film/451/
Говардс-Энд,Howards End,1991,142,Великобритания,драма,Джеймс Айвори,7.1,https://www.kinopoisk.ru/film/7740/
Жестокая игра,The Crying Game,1992,112,Великобритания,триллер,Нил Джордан,7.0,https://www.kinopoisk.ru/film/4774/
Молчание ягнят,The Silence of the Lambs,1990,118,США,триллер,Джонатан Демме,8.3,https://www.kinopoisk.ru/film/345/
Красавица и чудовище,Beauty and the Beast,1991,84,США,мультфильм,Гари Труздейл,8.3,https://www.kinopoisk.ru/film/540/
